Id,Date,Jackpot,Draw,Machine,Set,B1,B2,B3,B4,B5,B6,BB
1,Wed 17 Oct 2018,9590134,2381,Guinevere,3,1,5,6,20,51,54,56
2,Sat 20 Oct 2018,12447858,2382,Lancelot,4,12,18,40,42,46,59,49
3,Wed 24 Oct 2018,14098451,2383,Lancelot,2,9,22,32,40,51,59,17
4,Sat 27 Oct 2018,16543093,2384,Guinevere,1,1,6,25,26,31,39,56
5,Wed 31 Oct 2018,1900729,2385,Lancelot,3,5,14,20,24,28,45,21
6,Sat 03 Nov 2018,5177188,2386,Guinevere,2,16,31,41,45,47,52,53
7,Wed 07 Nov 2018,6645866,2387,Guinevere,1,4,5,9,40,46,59,58
8,Sat 10 Nov 2018,9433704,2388,Lancelot,2,7,12,17,38,42,44,53
9,Wed 14 Nov 2018,1928401,2389,Lancelot,4,4,11,20,45,48,53,16
10,Sat 17 Nov 2018,5254432,2390,Lancelot,3,4,5,9,12,17,42,32
11,Wed 21 Nov 2018,2000000,2391,Guinevere,1,24,31,35,42,46,53,9
12,Sat 24 Nov 2018,4084955,2392,Lancelot,4,15,27,30,32,42,43,10
13,Wed 28 Nov 2018,2000000,2393,Guinevere,3,36,39,45,46,48,52,38
14,Sat 01 Dec 2018,4090254,2394,Guinevere,1,5,8,9,12,31,49,57
15,Wed 05 Dec 2018,5411352,2395,Lancelot,2,1,6,13,23,45,56,41
16,Sat 08 Dec 2018,7615228,2396,Lancelot,2,6,23,36,38,43,48,17
17,Wed 12 Dec 2018,2000000,2397,Lancelot,3,3,22,31,46,51,59,53
18,Sat 15 Dec 2018,4057861,2398,Guinevere,4,5,26,34,35,43,49,19
19,Wed 19 Dec 2018,5341733,2399,Guinevere,1,12,24,33,34,39,56,38
20,Sat 22 Dec 2018,15000000,2400,Lancelot,4,4,15,17,24,32,56,31
21,Wed 26 Dec 2018,2000000,2401,Guinevere,2,7,14,35,45,54,58,1
22,Sat 29 Dec 2018,4142191,2402,Lancelot,3,26,31,38,40,45,57,28
23,Wed 02 Jan 2019,5502058,2403,Lancelot,1,8,9,10,35,40,53,21
24,Sat 05 Jan 2019,7835827,2404,Guinevere,4,18,25,27,28,32,47,6
25,Wed 09 Jan 2019,9370844,2405,Lancelot,5,3,17,36,42,51,57,18
26,Sat 12 Jan 2019,3800000,2406,Guinevere,2,13,29,32,43,49,55,26
27,Wed 16 Jan 2019,5107726,2407,Guinevere,7,1,12,44,48,54,55,8
28,Sat 19 Jan 2019,7361168,2408,Guinevere,8,11,15,17,22,31,52,45
29,Wed 23 Jan 2019,8792887,2409,Guinevere,5,5,27,30,41,45,58,38
30,Sat 26 Jan 2019,11202778,2410,Lancelot,7,29,40,42,47,51,56,45
31,Wed 30 Jan 2019,12950857,2411,Guinevere,8,7,22,31,43,47,58,2
32,Sat 02 Feb 2019,3800000,2412,Lancelot,6,1,6,41,53,55,59,20
33,Wed 06 Feb 2019,5116445,2413,Guinevere,6,3,16,24,41,44,53,15
34,Sat 09 Feb 2019,7369767,2414,Lancelot,7,25,27,31,36,38,47,12
35,Wed 13 Feb 2019,14000000,2415,Lancelot,8,4,8,26,31,42,45,55
36,Sat 16 Feb 2019,16502197,2416,Lancelot,5,11,15,18,43,46,51,12
37,Wed 20 Feb 2019,18448180,2417,Lancelot,6,3,11,17,33,41,51,48
38,Sat 23 Feb 2019,3800000,2418,Lancelot,8,6,9,38,40,42,48,57
39,Wed 27 Feb 2019,5143862,2419,Guinevere,5,19,20,22,31,51,54,16
40,Sat 02 Mar 2019,7379371,2420,Lancelot,7,4,8,16,19,33,45,54
41,Wed 06 Mar 2019,8876514,2421,Lancelot,6,2,12,15,43,46,53,17
42,Sat 09 Mar 2019,11252974,2422,Guinevere,7,22,27,35,40,46,52,2
43,Wed 13 Mar 2019,12984966,2423,Guinevere,5,1,11,29,40,46,48,17
44,Sat 16 Mar 2019,3800000,2424,Lancelot,8,6,26,32,37,42,59,38
45,Wed 20 Mar 2019,2000000,2425,Guinevere,7,2,19,35,53,56,58,12
46,Sat 23 Mar 2019,4119911,2426,Lancelot,5,6,26,30,50,52,59,27
47,Wed 27 Mar 2019,5391107,2427,Lancelot,8,13,18,25,35,39,50,21
